english	translation	category	sub_category	source
Escort	ともなう	actions	npc	Smiddi Ryak (hard)
Supply	ようきゅするする	actions	npc	Smiddi Ryak (hard)
Claim-runes	ルーンをもらう	actions	npc	Lundail
Chase	おいかける	actions	npc	Cat
Interact	そうさする	actions	npc	Cat
Catch	つかまえる	actions	npc	Baby impling
Get-rewards	ほうびをもらう	actions	npc	Commander Connad
Tutorial	チュートリアルをしる	actions	npc	Captain Cain
Start-minigame	ミニゲームをはじめる	actions	npc	Guardian mummy
Teleport	テレポートする	actions	npc	Apprentice
Join-Crew	のりくみいんになる	actions	npc	San Fan
Join-Team	チームにはいる	actions	npc	Honest Jimmy
Pick-pocket	すりをする	actions	npc	Fairy Godfather
Craft-goods	ものをつくる	actions	npc	Thakkrad Sigmundson
Rellekka	レレッカへいく	actions	npc	Maria Gunnars
Neitiznot	ネイティズノットへいく	actions	npc	Maria Gunnars
Jatizso	ジャティズソへいく	actions	npc	Mord Gunnars
Watch-shouting	さけびをみる	actions	npc	Guard
Kick	キックする	actions	npc	Bed
Claim-Tokens	トークンをもらう	actions	npc	Lorelai
History	れきしをみる	actions	npc	Grand Exchange Clerk
Sets	セットをみる	actions	npc	Grand Exchange Clerk
Prices	ねだんをみる	actions	npc	Brugsen Bursen
Exchange fire cape	ファイヤーケープをこうかんする	actions	npc	TzHaar-Mej-Jal
Destroy	こわす	actions	npc	Door-support
Tickets	きっぷをもらう	actions	npc	Cart conductor
Listen-to	きく	actions	npc	Red Axe Director
Claim-Shield	たてをもらう	actions	npc	Gamfred
talk	はなす	actions	npc	Gate of War
Get job (easy)	かんたんなしごとをえる	actions	npc	Gianne jnr.
Get job (hard)	むずかしいしごとをえる	actions	npc	Gianne jnr.
Repairs	しゅうりする	actions	npc	Dark Mage
Sober-Up	よいをさます	actions	npc	Skippy
Walk here	ここへあるく	actions	npc	Purepker895
Follow	ついていく	actions	npc	Purepker895
Pay (north-west)	きたにしではらう	actions	npc	Elstan
Pay (south-east)	みなみひがしではらう	actions	npc	Elstan
Pay (north)	きたではらう	actions	npc	Dantaera
Pay (south)	みなみではらう	actions	npc	Dantaera
Detach	はずす	actions	npc	Combat dummy
Upgrade	グレードアップする	actions	npc	Combat dummy
Remove	はずす	actions	npc	Combat dummy
Shoo	おいはらう	actions	npc	Clockwork cat
Fur Clothing	けがわぎょうを きる	actions	npc	Asyff
Shoo-away	おいはらう	actions	npc	Stray dog
Tease	わざとくるしめる	actions	npc	Sabre-toothed kyatt
Leave	さる	actions	npc	Squire
Claim-slime	ぬらぬらをもらう	actions	npc	Robin
Use	つかう	actions	npc	Portal
Exit	でていく	actions	npc	Portal
Relocate	いどうする	actions	npc	Estate agent
Redecorate	かざりなおす	actions	npc	Estate agent
Buy-plank	いたをかう	actions	npc	Sawmill operator
Age	としをかぞえる	actions	npc	Hans
Tackle	ぼぼあわせあう	actions	npc	Gnome baller
Pass-to	わたす	actions	npc	Gnome winger
Claim	うけとる	actions	npc	Ranged combat tutor
Buy	かう	actions	npc	Fadli
Heal	いやす	actions	npc	A'abla
Stroke	さわる	actions	npc	Gertrude's cat
Climb-over	のりこえる	actions	npc	Pile of bones
Melt	とかす	actions	npc	Crust of ice
Clear	けす	actions	npc	Furnace grate
Take	とる	actions	npc	Iron pickaxe
Steal-from	ぬすむ	actions	npc	Digsite workman
Pay-fare	ようきんをはらう	actions	npc	Captain Tobias
Pay-Fare	ようきんをはらう	actions	npc	Customs officer
Go-inside	なかにはいる	actions	npc	House
Pirate's Cove	かいぞくのわにへいく	actions	npc	Lokar Searunner
Deposit-items	どうぐをあずかるじょへあずける	actions	npc	Peer the Seer
Miscellania	まぜられたくにへいく	actions	npc	Sailor
Prod	つんつく	actions	npc	Red Sheep
Return-Home	いえへかえる	actions	npc	Bill Teach
Devices	きかいをみる	actions	npc	Ava
Chop	きる	actions	npc	Undead tree
Roll	ころがす	actions	npc	Boulder
Watch	みる	actions	npc	Mercenary Captain
Buy-pass	パスをかう	actions	npc	Shantay
Pass	すぎる	actions	npc	Shantay Guard
Fly	とぶ	actions	npc	Auguste
Decant	つぐ	actions	npc	Zahur
Clean	きれいにする	actions	npc	Zahur
Make unfinished potion(s)	みあがらないくすりをつくる	actions	npc	Zahur
Shoot	うつ	actions	npc	Target
Shop	おみせであかう	actions	npc	Ezekial Lovecraft
Board	のる	actions	npc	Ogre boat
Potions	くすりをみる	actions	npc	Apothecary
Grab-feather	ねもじをひろう	actions	npc	Desert Phoenix
Take-from	とりだす	actions	npc	Jig cart
Coffer	はこにしまう	actions	npc	Yohnus
Call-Over	よぶ	actions	npc	Zombie
Insult	ばかにする	actions	npc	Zombie
Scare	おどろかす	actions	npc	Zombie
Skin	かわをはぐ	actions	npc	Swamp snake
Burn	やく	actions	npc	Barricade
Extinguish	けす	actions	npc	Barricade
Quick-withdraw	はやくひきだす	actions	npc	Elnock Inquisitor
Check-gates	もんをしらべる	actions	npc	Wandering impling
Sand	すなをまく	actions	npc	Bert
Request-supplies	ようきゅするする	actions	npc	Bork Sigmundson
Listen	きく	actions	npc	Key Master
Check	しらべる	actions	npc	Probita
View Laps	ラップをみる	actions	npc	Grace
Toggle Counter	カウンターをきりかえる	actions	npc	Grace
Tap	たたく	actions	npc	Skullball
Show-Goal	ゴールをみせる	actions	npc	Skullball
Give-Stick	ぼうをわたす	actions	npc	Agility Trainer
Waterbirth Island	みずのたんじょうのしまへいく	actions	npc	Jarvald
Take-flyer	ビラをとる	actions	npc	Ali the Leaflet Dropper
Trade-with	とりひきする	actions	npc	Rewards Guardian
Trade-Co-op	きょうりょくでとりひきする	actions	npc	Gabooty
Trade-Drinks	のみものをこうかんする	actions	npc	Gabooty
Send-parcel	こづつみをおくる	actions	npc	Rionasta
Peek	そっとみる	actions	npc	Eye
Deposit-box	こづつみをあずける	actions	npc	Financial Seer
Move	うごかす	actions	npc	Boulder
Log-storage	ほうきをしまう	actions	npc	Friendly Forester
Claim Sand	すなをもらう	actions	npc	Drew
Deposit buckets	ばけつをあずける	actions	npc	Drew
Toggle warnings	けいこくをきりかえる	actions	npc	Doomsayer
Remove PvP Protection	ぴーぶいぴーぼうごをはずす	actions	npc	Doomsayer
Observe	みまもる	actions	npc	Maze Guardian
New-maze	あたらしいめいろをつくる	actions	npc	Maze Guardian
Maxhit Variant	さいだいいんげきへんこう	actions	npc	Combat Test
Kill-count	ころしすうをかぞえる	actions	npc	Soldier
Canyon-count (east)	ひがしけいこくすうをかぞえる	actions	npc	Soldier
Canyon-count (west)	にしけいこくすうをかぞえる	actions	npc	Soldier
Pay (north-east)	きたひがしではらう	actions	npc	Marisi
Pay (south-west)	みなみにしではらう	actions	npc	Marisi
Task	タスクをうける	actions	npc	Captain Khaled
Help	たすける	actions	npc	Villia
Spellbook	じゅつぶっく	actions	npc	Tyss
Climb-on	のりのる	actions	npc	Stunted demonic gorilla
Glider	グライダーにのる	actions	npc	Captain Shoracks
Watermill	すいしゃへいく	actions	npc	Mistag
Join	さんかする	actions	npc	Lisa
Locking	ロックする	actions	npc	Rift guardian
Check Scores	スコアをかくにんする	actions	npc	Captain Kalt
Contract	けいやくをむすぶ	actions	npc	Amy
Port Sarim	ポートサリムへいく	actions	npc	Captain Magoro
Port Piscarilius	ポートピスカリウスへいく	actions	npc	Captain Magoro
Feed	たべさせる	actions	npc	Lux grub
Douse	ぶっかける	actions	npc	Fire
Cut	きる	actions	npc	Meat tree
Smash	つぶす	actions	npc	Jewelled Crab
Claim-cape	ケープをもらう	actions	npc	Captain Rimor
Set-difficulty	こんなんどをきめる	actions	npc	Captain Rimor
Fight	たたかう	actions	npc	Abigale
Bars	ぼうをかう	actions	npc	Pirate Jackie the Fruit
Toggle-minerals	こうぶつをきりかえる	actions	npc	Belona
Kitten	こねこをかう	actions	npc	Gertrude
Toggle-vials	びんをきりかえる	actions	npc	Barbarian guard
Redeem-code	コードをつかう	actions	npc	Recruiter
Purchase Amulet	アミュレットをかう	actions	npc	Wizard Mizgog
Staves	ぼうをかう	actions	npc	Dark Mage
Deboard	おりる	actions	npc	Barge guard
Toggle Fossils	かせきをきりかえる	actions	npc	Peter
Poke	つつく	actions	npc	Bobbing fossil
Training	れんしゅうする	actions	npc	Mairin
Harvest	しゅうかくする	actions	npc	Herbiboar
Stun	きぜつさせる	actions	npc	Hoop Snake
Murder	ころす	actions	npc	Conrad King
Challenge	ちょうせんする	actions	npc	The Mimic
Quick-Travel	はやくりょこうする	actions	npc	Barge guard
Escape	にげる	actions	npc	Brundt the Chieftain
Scry	ぎまんはじんする	actions	npc	Abigaila
Claim Pet Rock	ペットロックをもらう	actions	npc	Askeladden
Standard Variant	ひょうじゅんへんこう	actions	npc	Combat Test (maxhit)
Get-log	まきをもらう	actions	npc	The Collector
Count-log	まきをかぞえる	actions	npc	The Collector
Get bird	とりをもらう	actions	npc	Alry the Angler
Pay (Fruit tree)	くだものゆではらう	actions	npc	Nikkie
Pay (tree patch)	きのパッチではらう	actions	npc	Rosie
Pay (Redwood tree)	あかきではらう	actions	npc	Alexandra
Pay (Spirit tree)	スピリットツリーではらう	actions	npc	Latlink Fastbell
Swap	とりかえる	actions	npc	Ornate combat dummy
Pay (Celastrus tree)	セラストラスツリーではらう	actions	npc	Taylor
Land's End	ランズエンドへいく	actions	npc	Veos
Join Castle Wars	キャッスルウォーズへはいる	actions	npc	Saradominist recruiter
Holiday-items	ホリデーアイテムをみる	actions	npc	Diango
Tan-hides	ひょうひをなめす	actions	npc	Eodan
Ardougne	アルドゥーンへいく	actions	npc	Captain Barnaby
Brimhaven	ブリムヘイブンへいく	actions	npc	Captain Barnaby
Rimmington	リミングトンへいく	actions	npc	Captain Barnaby
Enchant	まほうをかける	actions	npc	Eluned
Quick-escape	すぐにげる	actions	npc	Elena
Investigate	しらべる	actions	npc	Elderly Elf
Fix-exoskeleton	がいこくをなおす	actions	npc	Elderly Elf
Chop down	たおす	actions	npc	Tree
Sing	うたう	actions	npc	Reese
Statistics	とうけいをみる	actions	npc	Ystwyth
Repair	なおす	actions	npc	Aneirin
Open Adventure Paths	アドベンチャーパスをあける	actions	npc	Adventurer Jon
Island of Stone	いしのとうへいく	actions	npc	Haskell
Charter	ちょくせんかいそうをえぐ	actions	npc	Trader Stan
Charter-to Brimhaven	ブリムヘイブンへいく	actions	npc	Trader Stan
Charter-to Catherby	キャサービーへいく	actions	npc	Trader Stan
Charter-to Mos Le'Harmless	モスレハーミスへいく	actions	npc	Trader Stan
Charter-to Musa Point	ムサポイントへいく	actions	npc	Trader Stan
Charter-to Port Khazard	ポートカザルドへいく	actions	npc	Trader Stan
Charter-to Port Phasmatys	ポートファスマティスへいく	actions	npc	Trader Stan
Charter-to Port Sarim	ポートサリムへいく	actions	npc	Trader Stan
Charter-to Shipyard	せんたいこうじょうへいく	actions	npc	Trader Stan
Charter-to Corsair Cove	コルセアコーブへいく	actions	npc	Trader Stan
Charter-to Prifddinas	プリフディナスへいく	actions	npc	Trader Stan
Charter-to Port Tyras	ポートティラスへいく	actions	npc	Trader Stan
Charge	チャージする	actions	npc	Totem
Spectate	けんしょうする	actions	npc	The Nightmare
Convert-shards	しゃーどをへんかんする	actions	npc	Noranna Tytanin
Loot	うばう	actions	npc	Grave
Lap-count	ラップをかぞえる	actions	npc	Bobawu
Value	ねだんをつける	actions	npc	Skully
Settings	せっていい	actions	npc	Skully
Ungael	ウンゲルへいく	actions	npc	Torfinn
Glider-to Ta Quir Priw	タクイルプリウへいく	actions	npc	Gnormadium Avlafrim
Glider-to Gandius	ガンディウスへいく	actions	npc	Gnormadium Avlafrim
Glider-to Kar-Hewo	カルヘウォへいく	actions	npc	Gnormadium Avlafrim
Glider-to Lemanto Andra	レマントアンドラへいく	actions	npc	Gnormadium Avlafrim
Glider-to Sindarpos	シンダルポスへいく	actions	npc	Gnormadium Avlafrim
Glider-to Ookookolly Undri	ウークークオリーウンドリへいく	actions	npc	Gnormadium Avlafrim
Glider-to Lemantolly Undri	レマントリーウンドリへいく	actions	npc	Captain Dalbur
Other-services	ほかのサービスをうける	actions	npc	Thessalia
Leave-tutorial	チュートリアルをでる	actions	npc	Nomad
Fill	みたす	actions	npc	Ammunition crate
Check-ammo	だんやくをかくにんする	actions	npc	Ammunition crate
Forfeit	ほうきする	actions	npc	Captain Pudi
Locks	ロックをやぶる	actions	npc	Dampe
Take-net	あみをもってくる	actions	npc	Spirit Angler
Ferry	わたす	actions	npc	Ferryman Sathwood
Awaken	めをさます	actions	npc	Rubble
Items	アイテムをみる	actions	npc	Clerk
Buy-sphere	きゅうていをかう	actions	npc	Oldak
Power-up	パワーアップする	actions	npc	The Great Guardian
Buy-crystals	クリスタルをかう	actions	npc	Rick
Quick-lock	はやくロックする	actions	npc	Apprentice Tamara
Strike	たたく	actions	npc	Hill Giant
Hand-in	わたす	actions	npc	Kovac
Commission	ちゅうもんする	actions	npc	Kovac
Talk	はなす	actions	npc	Hannibal
Proceed	すすむ	actions	npc	Osmumten
Begin	はじめる	actions	npc	Osmumten
Water	みずをやる	actions	npc	Palm of Resourcefulness
Check-costume	コスチュームをかくにんする	actions	npc	Costumed child
Trick-or-treat	ぎょうふくそうりょうをもらう	actions	npc	Generous Treater
Scare-away	おどろかしてはしらせる	actions	npc	Spooky dog
Tend-to	かたかたしたたきびへすすむ	actions	npc	Flowering bush (Lilac)
Emote	エモートをする	actions	npc	Wisp
Deposit	あずける	actions	npc	Woodcutting Leprechaun
Cast	となえる	actions	npc	Fishing spot
Reset-room	へやをリセットする	actions	npc	Cerebral pathfinder
Take-lure	ルアーをもってくる	actions	npc	Light leech
Build	そうちをたてる	actions	npc	Unfinished Beehive
Disarm	かいじょする	actions	npc	Fox trap
Prune	せんていする	actions	npc	Entling
Prune-top	せんていする	actions	npc	Entling
Prune-back	せんていする	actions	npc	Entling
Prune-sides	せんていする	actions	npc	Entling
Charter-to Port Piscarilius	ポートピスカリウスへいく	actions	npc	Trader Stan
Charter-to Land's End	ランズエンドへいく	actions	npc	Trader Stan
Mark	しるしをつける	actions	npc	Guard
Unmark	しるしをけす	actions	npc	Guard
Charter-to Civitas illa Fortis	キウィタスイラフォルティスへいく	actions	npc	Trader Stan
Charter-to Aldarin	アルダリンへいく	actions	npc	Trader Stan
Charter-to Sunset Coast	さんせっとこーすとへいく	actions	npc	Trader Stan
Charter-to Tempestus	テンペストゥスへいく	actions	npc	Trader Stan
Start-wave	ウェーブをはじめる	actions	npc	Minimus
Scoreboard	スコアボードをみる	actions	npc	Eyatlalli
Rumour	ぐわいをきく	actions	npc	Huntmaster Gilman (Novice)
Rumour-settings	ぐわいをせっていする	actions	npc	Guild Scribe Verity
Fur-clothing	けがわぎょうをきる	actions	npc	Pellem
Recharge-whistle	ホイッスルをチャージする	actions	npc	Soar Leader Pitri
Trade-in	こうかんする	actions	npc	Oriana
Last-destination	さいごのもくてきちをみる	actions	npc	Renu
Search	さがす	actions	object	Crate
Enter	はいる	actions	object	Cave Entrance
Open	ひらく	actions	object	Door
Inspect	しらべる	actions	object	Broken multicannon
Fire	ひをつける	actions	object	Dwarf multicannon
Pick-up	ひろう	actions	object	Dwarf multicannon
Empty	からにする	actions	object	Dwarf multicannon
Climb-down	おりる	actions	object	Ladder
Climb-up	のぼる	actions	object	Ladder
Climb-over	のりこえる	actions	object	Rock pile
Prod	つんつく	actions	object	Sacks
Pull	ひく	actions	object	Lever
Go-through	とおりぬける	actions	object	Gate
Fish	つる	actions	object	Fishing spot
Squeeze-through	すりぬける	actions	object	Loose Railing
Check	しらべる	actions	object	Vine
Pray-at	おいのりする	actions	object	Chaos altar
Smash	つぶす	actions	object	Giant crystal
Hide-in	かくれる	actions	object	Crate
Take-from	とりだす	actions	object	Beehive
Cross	わたる	actions	object	Gangplank
Knock-at	たたく	actions	object	Large door
Search for traps	わなをさがす	actions	object	Lever
Shut	しめる	actions	object	Open chest
Cook	やく	actions	object	Cooking range
Burst	はじく	actions	object	Party Balloon
Jump-up	とぶ	actions	object	Rocks
Operate	あやつる	actions	object	Winch
Pick	とる	actions	object	Potato
Close	とじる	actions	object	Large open cupboard
Play	さいせい	actions	object	Church organ
Use	つかう	actions	object	Crevice
Peek	そっとみる	actions	object	Crevice
Private	ぷらいべーとにする	actions	object	Crevice
Jump	とぶ	actions	object	Broken Fence
Steal-from	ぬすむ	actions	object	Tea stall
Take	とる	actions	object	Small fishing net
Exit	でていく	actions	object	Cave exit
Suck	すいこむ	actions	object	Swamp bubbles
Reset	リセットする	actions	object	Shaking box
Slash	ぎゃくばきり	actions	object	Web
Weave	おる	actions	object	Loom
Attack	こうげきする	actions	object	Dummy
Read	よむ	actions	object	Plaque
Chop down	たおす	actions	object	Tree
Push	おす	actions	object	Wall
Take-1	ひとつもってくる	actions	object	Bandage table
Take-5	いつつもってくる	actions	object	Bandage table
Take-10	じゅうこもってくる	actions	object	Bandage table
Commune	さゆうする	actions	object	Lever
Board	のる	actions	object	Log raft
Swim to	およぐ	actions	object	Rock
Take treasure	たからをもってくる	actions	object	Chalice
Climb	のぼる	actions	object	Dead Tree
Get in	はいる	actions	object	Barrel
Chop	きる	actions	object	Achey Tree
Drink From	のむ	actions	object	Cauldron
Smelt	あきする	actions	object	Furnace
Smith	たんすする	actions	object	Anvil
Hit	なぐる	actions	object	Dummy
Fill	みたす	actions	object	Crate
Look-at	みる	actions	object	Mound of earth
Investigate	しらべる	actions	object	Strange looking stone
Craft	つくる	actions	object	Smashed table
Disembark	おりる	actions	object	Crude raft
Pay-fare	ようきんをはらう	actions	object	Travel cart
Listen-at	きく	actions	object	Grill
Pan	なべでいためる	actions	object	Panning point
Shoot	うつ	actions	object	Gnome goal
Deposit	あずける	actions	object	Chest
Climb-on	のりのる	actions	object	Barrel
Kick	キックする	actions	object	Loose panel
Rotate	まわす	actions	object	Crane
Walk-down	おりる	actions	object	Spooky stairs
Walk-up	のぼる	actions	object	Spooky stairs
Repair	なおす	actions	object	Hole
Walk-Down	おりる	actions	object	Stairs
Walk-Up	のぼる	actions	object	Stairs
Mine	さくせきする	actions	object	Rock slide
Look at	みる	actions	object	Winch
Cut	きる	actions	object	Kharidian cactus (Healthy)
Watch	みる	actions	object	Mine door entrance
Look-in	なかをみる	actions	object	Barrel
Look in	なかをみる	actions	object	Barrel
Collect	あつめる	actions	object	Bank chest
Climb-to	のぼる	actions	object	Rock
Climb down	おりる	actions	object	Rock
Walk through	とおりぬける	actions	object	Mine cave
Walk-through	とおりぬける	actions	object	Tent door
Remove	はずす	actions	object	Hellhound
Steal-From	ぬすむ	actions	object	Counter
Prospect	さぐる	actions	object	Rock of Dalgroth
Leave	さる	actions	object	Cave exit
Jump-Over	とびこえる	actions	object	Gap
Turn	ねじる	actions	object	Sewer valve
Look-under	ほかめをみる	actions	object	Potted plant
Step-into	ふみいれる	actions	object	Sparkling pool
Chop-down	きりおとす	actions	object	Jungle tree
Touch	さわる	actions	object	Fire Wall
search	さがす	actions	object	Desk
Smash-to-bits	ずたずたにたたきこわす	actions	object	Boulder
Jump-over	とびこえる	actions	object	Jagged wall
Look	みる	actions	object	Carved rock
Lift	もちあげる	actions	object	Totem pole
Shake	ゆらす	actions	object	Leafy Palm Tree
Cut down	きりおとす	actions	object	Arctic pine tree
Forfeit	ほうきする	actions	object	Entrance
Bank	よきんをする	actions	object	Open chest
Buy	かう	actions	object	Crate
Pass-through	とおりぬける	actions	object	Tunnel
Descend	おりる	actions	object	Cave
Ascend	のぼる	actions	object	Cave
Picklock	ぎおんをあける	actions	object	Gate
Fire-at	うつ	actions	object	Guide rope
Unlock	ろをあける	actions	object	Locked Ogre chest
Study	べんきょうする	actions	object	Monument
Take-cutting	ざつしょくをとる	actions	object	Budding branch
Walk-on	あるく	actions	object	Balancing rope
Walk-across	あるいてわたる	actions	object	Balancing ledge
Swing-across	ふりてわたる	actions	object	Monkey bars
Swing-on	ふりあがる	actions	object	Rope swing
Jump-on	とびのる	actions	object	Pillar
Tag	たぐをつける	actions	object	Ticket Dispenser
Climb-across	ぐいのあるきをよじのぼる	actions	object	Hand holds
Toggle-warning	けいこくをきりかえる	actions	object	Cave entrance
Dump	ぽいぽいすてる	actions	object	Compost Bin
Step-over	またぐ	actions	object	Tripwire
Pass	すぎる	actions	object	Sticks
Reinforce	つよくする	actions	object	Temple wall
Light	あかりをつける	actions	object	Fire altar
Summon	よぶ	actions	object	Strange altar
Cut-branch	ひねりきる	actions	object	Swaying tree
Put-inside	いれる	actions	object	Pipe
Spin	まわす	actions	object	Spinning wheel
Capture	つかまえる	actions	object	Standard Stand
Jump-to	とびのる	actions	object	Stepping stone
Collapse	くずれさせる	actions	object	Cave wall
Lock	ロックする	actions	object	Door
View	みる	actions	object	Scoreboard
View Stats	ステータスをみる	actions	object	Scoreboard
Build	そうちをたてる	actions	object	Chair space
Remove board advert	こくこくはんをはずす	actions	object	Portal
Remove-room	へやをはずす	actions	object	Dungeon entrance
Jump-across	とびわたる	actions	object	Basalt rock
View-game	ゲームをみる	actions	object	Table
Weed	くさをぬく	actions	object	Herbs
Jump off	とびおりる	actions	object	End of bridge
Talk-to	はなしかける	actions	object	Awowogei
Pick-lock	ぎおんをあける	actions	object	Jail Door
Steal from	ぬすむ	actions	object	Crafting Stall
Crawl-down	はいくぐる	actions	object	Cart tunnel
Crawl-through	はいくぐりぬける	actions	object	Cart tunnel
Go-down	おりる	actions	object	Lift
Go-up	のぼる	actions	object	Lift
Slide	すべる	actions	object	Slope
Squeeze-past	すりぬける	actions	object	Stalagmite
Wind	きぜんをまく	actions	object	Clock
Dig	ほる	actions	object	Grave
Pick-Lock	ぎおんをあける	actions	object	Trapdoor
Take-axe	おのをもってくる	actions	object	Logs
Ring-bell	ベルをならす	actions	object	Antiques Shop Stall
Listen-to	きく	actions	object	Shining pool
Pick-from	とる	actions	object	Thorny bushes
Dig-up	ほりおこす	actions	object	Mud
Dig-below	ほりしたす	actions	object	Roots
Jump-through	とびぬける	actions	object	Wall of flame
Take-beer	ビールをもってくる	actions	object	Table
Hide-behind	かくれる	actions	object	Cactus
Smoke	けむりをだす	actions	object	Smokey well
Look-into	のぞく	actions	object	Mystical mirror
Step-off	ふみおりる	actions	object	Ice ledge
Climb-through	よじぬける	actions	object	Hole
Collect-from	あつめる	actions	object	Weeping wall
Sit-on	すわる	actions	object	Chair
Upgrade	グレードアップする	actions	object	Tools
Work-at	はたらく	actions	object	Workbench
Make-helmet	かぶとをつくる	actions	object	Helmet pluming stand
Ring	ベルをならす	actions	object	Bell
Quick-board	はやくのる	actions	object	Swamp Boaty
Ride	のる	actions	object	Train cart
Observe	みまもる	actions	object	Telescope
Leave-area	そのばをさる	actions	object	Ladder
Crack	ひびをわぶる	actions	object	Wall safe
Pull-spade	しゃべるをひく	actions	object	Stone Door
Guide	ほどこす	actions	object	Belladonna patch
Rake	くまでをつかう	actions	object	Belladonna patch
Cure	なおす	actions	object	Diseased Belladonna
Clear	けす	actions	object	Dead Belladonna
Check-health	けんこうをかくにんする	actions	object	Cadavaberry bush
Prune	せんていする	actions	object	Diseased cadavaberry bush
Pick-spine	トゲをぬく	actions	object	Cactus
Pick-fruit	みをとる	actions	object	Calquat tree
Gear	ぐそくをえらぶ	actions	object	Supplies
Stats	すうじ	actions	object	Supplies
Standard spellbook	せんばんほうじゅつしょをえらぶ	actions	object	Altar
Ancient spellbook	こだいほうじゅつしょをえらぶ	actions	object	Altar
Lunar spellbook	げつほうじゅつしょをえらぶ	actions	object	Altar
Arceuus spellbook	アルケウスほうじゅつしょをえらぶ	actions	object	Altar
Pick-apple	りんごをとる	actions	object	Apple tree
Pick-pineapple	パイナップルをとる	actions	object	Pineapple plant
Pick-banana	バナナをとる	actions	object	Banana tree
Pick-leaf	ようりょうはっぱをとる	actions	object	Curry tree
Pick-orange	オレンジをとる	actions	object	Orange tree
Pick-coconut	ココナッツをとる	actions	object	Palm tree
Harvest	しゅうかくする	actions	object	Asgarnian Hops
Travel	りょこうする	actions	object	Spirit Tree
